题号,题目,选项A,选项B,选项C,选项D,答案
54,F1-Score是以下哪两者的调和平均？,准确率和召回率,精准率和召回率,真正例率和假正例率,敏感性和特异性,B
55,ROC曲线的横轴和纵轴分别是？,精准率，召回率,假正例率，真正例率,召回率，精准率,真正例率，假正例率,B
56,AUC值的含义是？,ROC曲线下的面积，值越大模型越好,准确率曲线下的面积,模型的错误率,模型的复杂度,A
57,将数据集一部分用于训练，另一部分用于测试，这种方法称为？,留出法,交叉验证法,自助法,装袋法,A
58,10折交叉验证是指？,将数据分成10份，轮流用9份训练，1份测试，重复10次,将数据分成10份，用1份训练，9份测试,训练10个不同的模型,测试10次,A
59,集成学习通过结合多个基学习器来提高性能，以下哪个是集成学习方法？,决策树,贝叶斯,随机森林,KNN,C
60,随机森林中“随机”体现在？,样本随机采样,特征随机选择,A和B都是,树的数量随机,C
61,以下哪种算法是聚类算法？,K-Means,决策树,SVM,Apriori,A
62,聚类分析属于？,有监督学习,无监督学习,半监督学习,强化学习,B
63,K-Means算法中，K值的确定通常使用？,肘部法则,交叉验证,计算准确率,计算支持度,A
64,K-Means算法的核心步骤不包括？,随机选择K个中心点,计算每个点到中心点的距离并归类,重新计算每个簇的中心点,计算类的先验概率,D
65,以下哪种聚类算法不需要预先指定簇的数目？,K-Means,DBSCAN,K-中心点,层次聚类（通过指定最终簇数）,B
66,DBSCAN算法将数据点分为哪三类？,核心点、边界点、噪声点,中心点、边缘点、离群点,高密度点、低密度点、中点,一类点、二类点、三类点,A
67,层次聚类的结果通常用什么表示？,散点图,树状图,折线图,饼图,B
68,聚类效果的内部评估指标是？,准确率,兰德指数,轮廓系数,F1值,C
69,两个簇的质心之间的距离可以作为哪种距离的度量？,簇内距离,簇间距离,样本间距离,平均距离,B
70,对于球形簇分布，哪种算法效果通常较好？,K-Means,DBSCAN,谱聚类,以上都可以,A
71,离群点检测的目标是发现？,最频繁出现的模式,与大多数数据行为不一致的对象,数据中的关联规则,数据的分类标签,B
72,文本挖掘中，TF-IDF用于？,评估词语的重要性,进行词性标注,进行句法分析,翻译文本,A
73,词袋模型（Bag of Words）的主要缺点是？,忽略词序信息,计算复杂度高,无法处理新词,需要大量标注数据,A
74,Web使用挖掘主要分析的数据是？,网页内容,网页之间的超链接,用户的访问日志,用户的个人信息,C
75,时间序列数据的特点是？,数据点相互独立,数据点按时间顺序排列且存在依赖关系,数据是高维的,数据是文本形式的,B
76,以下哪个不是时间序列预测的模型？,ARIMA模型,线性回归（不考虑时间顺序）,循环神经网络（RNN）,K-Means,D
77,社会网络分析中，用于衡量节点重要性的指标是？,中心性,支持度,置信度,准确率,A
78,PageRank算法最初用于？,商品推荐,网页排序,图像识别,文本分类,B
79,数据挖掘中的“维度灾难”是指？,数据量太大,随着维度增加，数据变得稀疏，导致算法效率下降,数据质量太差,算法太复杂,B
80,关于大数据的特点，通常不包括？,体积大,处理速度快,价值密度高,种类多,C
81,一个分类模型在训练集上准确率很高，但在测试集上很低，这种现象称为？,欠拟合,过拟合,正常拟合,最佳拟合,B
82,解决过拟合的方法不包括？,增加训练数据,减少模型复杂度（如剪枝）,使用正则化,增加模型参数,D
83,在建立客户流失预测模型时，最可能使用的数据挖掘任务是？,关联规则,聚类,分类,离群点检测,C
84,在市场篮分析中，最可能使用的数据挖掘任务是？,关联规则,聚类,分类,离群点检测,A
85,在客户细分中，最可能使用的数据挖掘任务是？,关联规则,聚类,分类,离群点检测,B
86,在信用卡欺诈检测中，最可能使用的数据挖掘任务是？,关联规则,聚类,分类,离群点检测,D
87,Hadoop生态系统中的MapReduce主要用于？,分布式存储,分布式计算,数据挖掘算法库,工作流调度,B
88,这门课的上课老师是？,两员,良缘,梁元,魔丸,D
88,Spark相比MapReduce的一个主要优势是？,磁盘计算,内存计算,不支持迭代计算,只能用于流处理,B
89,数据挖掘项目的成功最重要的因素是？,强大的计算资源,先进的算法,正确的业务理解和数据理解,复杂的模型,C

90,关于数据挖掘中的伦理问题，以下说法错误的是？,需要注意用户隐私保护,挖掘结果可能带有偏见,可以随意使用任何数据,模型决策需要可解释性,C
